id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
29, 281124.996, 1.103, 0.000, 6473.10, 0.0041, 281124.996, 79, 511361, 18446744073709275766, 259677.033, 21247.632, 198.576, 0.924, 0.857
30, 281220.546, 1.101, 0.000, 6577.29, 0.0038, 281220.546, 78, 513015, 18446744073709274846, 260050.589, 20969.626, 198.576, 0.925, 0.860
31, 281246.515, 1.106, 0.000, 6457.11, 0.0039, 281246.515, 79, 510098, 18446744073709276494, 259877.983, 21168.202, 198.576, 0.924, 0.859
32, 281214.111, 1.100, 0.000, 6493.66, 0.0038, 281214.111, 79, 512985, 18446744073709274854, 259845.578, 21168.202, 198.576, 0.924, 0.860
33, 281229.841, 1.101, 0.000, 6574.27, 0.0039, 281229.841, 78, 512779, 18446744073709274978, 259979.284, 21009.341, 198.576, 0.924, 0.860
34, 281097.629, 1.099, 0.000, 6770.25, 0.0039, 281097.629, 76, 514521, 18446744073709274006, 260324.825, 20572.474, 198.576, 0.926, 0.862
35, 281065.228, 1.103, 0.000, 6561.72, 0.0039, 281065.228, 78, 511800, 18446744073709275530, 259894.102, 20929.910, 198.576, 0.925, 0.860
36, 281079.170, 1.100, 0.000, 6575.29, 0.0040, 281079.170, 78, 512855, 18446744073709274930, 259828.613, 21009.341, 198.576, 0.924, 0.859
37, 281246.221, 1.100, 0.000, 6492.87, 0.0039, 281246.221, 79, 512919, 18446744073709274894, 259837.973, 21207.917, 198.576, 0.924, 0.859
38, 281232.538, 1.100, 0.000, 6495.42, 0.0038, 281232.538, 79, 513124, 18446744073709274778, 259902.551, 21128.486, 198.576, 0.924, 0.859
39, 281218.985, 1.098, 0.000, 6506.11, 0.0040, 281218.985, 79, 513965, 18446744073709274298, 259849.283, 21168.202, 198.576, 0.924, 0.858
40, 281212.485, 1.099, 0.000, 6501.81, 0.0040, 281212.485, 79, 513625, 18446744073709274490, 259805.993, 21207.917, 198.576, 0.924, 0.858
41, 281092.107, 1.104, 0.000, 6461.81, 0.0039, 281092.107, 79, 510465, 18446744073709276278, 259683.859, 21207.917, 198.576, 0.924, 0.859
42, 281120.933, 1.101, 0.000, 6575.33, 0.0038, 281120.933, 78, 512862, 18446744073709274930, 259949.806, 20929.910, 198.576, 0.925, 0.860
43, 281159.058, 1.107, 0.000, 6448.47, 0.0041, 281159.058, 79, 509411, 18446744073709276882, 259749.640, 21207.917, 198.576, 0.924, 0.858
44, 281145.829, 1.104, 0.000, 6646.68, 0.0038, 281145.829, 77, 511776, 18446744073709275558, 260253.878, 20691.619, 198.576, 0.926, 0.861
45, 281062.920, 1.099, 0.000, 6581.76, 0.0039, 281062.920, 78, 513363, 18446744073709274638, 259892.963, 20969.626, 198.576, 0.925, 0.860
46, 281109.200, 1.098, 0.000, 6590.35, 0.0039, 281109.200, 78, 514033, 18446744073709274262, 259939.243, 20969.626, 198.576, 0.925, 0.860
47, 281239.266, 1.099, 0.000, 6496.27, 0.0040, 281239.266, 79, 513191, 18446744073709274734, 259791.303, 21247.632, 198.576, 0.924, 0.858
48, 281249.114, 1.104, 0.000, 6473.39, 0.0038, 281249.114, 79, 511384, 18446744073709275766, 259922.052, 21128.486, 198.576, 0.924, 0.859
49, 281107.185, 1.100, 0.000, 6491.10, 0.0040, 281107.185, 79, 512783, 18446744073709274962, 259697.768, 21207.917, 198.576, 0.924, 0.858
50, 281128.962, 1.105, 0.000, 6547.96, 0.0040, 281128.962, 78, 510723, 18446744073709276146, 259878.405, 21009.341, 198.576, 0.924, 0.859
51, 281158.958, 1.100, 0.000, 6579.26, 0.0039, 281158.958, 78, 513164, 18446744073709274758, 260028.716, 20929.910, 198.576, 0.925, 0.860
52, 281065.001, 1.102, 0.000, 6565.81, 0.0041, 281065.001, 78, 512119, 18446744073709275346, 259854.159, 20969.626, 198.576, 0.925, 0.858
53, 281127.986, 1.101, 0.000, 6396.56, 0.0039, 281127.986, 80, 511707, 18446744073709275566, 259521.162, 21406.493, 198.576, 0.923, 0.858
